path,width,height,format
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-red-metalflake.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-silver-metalflake.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_baby-blue.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_copper.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_go-go-blue.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_ice-grey.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_keen-green.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_gold.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_jade.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_jade.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_tobacco-sunburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_red.png,2048,2048,PNG
